Sal9, Hleuca, Site041, 1.0
Bracin, Ospset, Site144, 1.0
Bracin, Onigri, Site017, 1.0
Pponta, Onival, Site078, 1.0
Chalci, Eaurit, Site181, 1.0
Hruber, Olappo, Site237, 1.0
Sal23, Oretic, Site002, 1.0
Chalci, Ehasta, Site020, 1.0
Peuura, Egemmh, Site027, 1.0
Etoxon, Oproxi, Site098, 1.0
Chalci, Elappc, Site086, 1.0
Pdolic, Edaphn, Site106, 1.0
Claevi, Obella, Site140, 1.0
Pdolic, Opedun, Site041, 1.0
Sal15, Esmyrs, Site083, 1.0
Sal15, Ospeit, Site239, 1.0
Ccruxx, Ovaria, Site001, 1.0
Tetras, Eweiff, Site233, 1.0
Pponta, Oherba, Site055, 1.0
Eacicu, Ofoeti, Site194, 1.0
Bracin, Omonti, Site002, 1.0
Enobbe, Eatraa, Site062, 1.0
Chalci, Ovaria, Site004, 1.0
Ccruxx, Ocolla, Site131, 1.0
Sal30, Esmyrt, Site083, 1.0
Chalci, Oglabr, Site286, 1.0
Sal27, Oglabr, Site082, 1.0
Ccruxx, Ovimin, Site108, 1.0
Chalci, Eciner, Site169, 1.0
Adelog, Hischn, Site121, 1.0
Sal16, Oarcti, Site016, 1.0
Sal13, Ocolla, Site150, 1.0
Llugen, Oproxi, Site242, 1.0
Celong, Halien, Site259, 1.0
Aminim, Oadaph, Site094, 1.0
Sal17, Onival, Site044, 1.0
Etorym, Osamol, Site046, 1.0
Ppecti, Oobscu, Site002, 1.0
Sal3, Onigri, Site005, 1.0
Sal25, Obella, Site287, 1.0
Etorym, Ohasta, Site071, 1.0
Sal14, Hacuti, Site285, 1.0
Svesic, Onigri, Site055, 1.0
Adelog, Halien, Site349, 1.0
Bracin, Ofoeti, Site110, 1.0
Sal11, Hoblit, Site342, 1.0
Pdolic, Egemmc, Site006, 1.0
Chalci, Epurpu, Site109, 1.0
Chalci, Egemmh, Site025, 1.0
Sal17, Oglauc, Site047, 1.0
Sal14, Osamol, Site042, 1.0
Sal9, Opedun, Site041, 1.0
Celong, Hleuco, Site092, 1.0
Broman, Onival, Site046, 1.0
Epygma, Onival, Site044, 1.0
Eacicu, Omonti, Site100, 1.0
Chalci, Olappo, Site050, 1.0
Eacicu, Okriec, Site255, 1.0
Bracin, Ovaria, Site005, 1.0
Pponta, Omacul, Site025, 1.0
Sal5, Ohasta, Site042, 1.0
Eacicu, Ofoeti, Site100, 1.0
Bepitr, Ovesic, Site103, 1.0
Chalci, Eboreo, Site078, 1.0
Apusil, Hleuco, Site339, 1.0
Chalci, Elappo, Site083, 1.0
Chalci, Hacuti, Site047, 1.0
Svesic, Obrevi, Site027, 1.0
Ichnin, Hpolit, Site126, 1.0
Bkopel, Oobscu, Site194, 1.0
Ccruxx, Okriec, Site067, 1.0
Sal49, Onigri, Site256, 1.0
Sal17, Hplicg, Site145, 1.0
Chalci, Ovimin, Site021, 1.0
