Sal46, Sal47
Pclavi, Amorri
Aprost, Torymu
Salcal, Ohelve
Eboreo, Sal17
Eacicu, Etorym
Dwestw, Cnrsub
Pterom, Psoemi
Egemmf, Oobscu
Eacicu, Svesic
Oobscu, Sal4
Bimmut, Opprox
Ialter, Csalic
Lalpiu, Hscapr
Tspfiv, Sal36
Sal13, Ocolla
Olappl, Osamol
Sal10, Hpolit
Themip, Mspone
Osamol, Elappc
Sal44, Cdorsa
Sal14, Sal17
Sal14, Sal16
Ofoeti, Oobscu
Salpin, Ppecti
Sal27, Oglabr
Okriec, Sal1
Bobscu, Obrevi
Ialter, Tspfiv
Tspfiv, Tspsix
Osamol, Onival
Psoemi, Pterom
Onorve, Sal29
Opprox, Bimmut
Olappl, Sal27
Tetras, Torymu
Hspira, Sal2
Mspone, Themip
Tspfiv, Pclavi
Olappl, Sal14
Olappl, Acubic
Osamol, Olappo
Salpin, Tspone
Srenov, Sal46
Elanat, Osamol
Lflexi, Elanat
Odolic, Oarcti
Ohasta, Sal5
Pterom, Ohelve
Axanth, Tspone
Aalvea, Tspfiv
Sal42, Llappo
Ofoeti, Egemmf
Hnudip, Sal16
Rbrach, Ctenoc
Cnrsub, Sal19
Ephyli, Esmyrs
Snigri, Sborea
Mymari, Themip
Svesic, Etorym
Chalci, Pdolic
Lalpio, Salpin
Sal42, Hslana
Sal39, Ppumil
Sal17, Hplicg
Amorri, Aalvea
Olappo, Olappl
Cnrsub, Dwestw
Esubge, Egemmc
Sal44, Sal41
Bracsp, Gornat
Eweiff, Sal35
Eboreo, Onival
Acubic, Osamol
Efront, Rbrach
Csalic, Sal36
Sal52, Ecalca
Broman, Pponta
Hscapr, Srenov
Sal7, Egemmh
Sal2, Hspira
Sal22, Mymari
Torymu, Gornat
Sal46, Srenov
Pponta, Broman
Eciner, Egemmc
Sal15, Omyrsi
Sal14, Olappo
Srenov, Sal45
Elappc, Olappo
Tspfou, Mspone
Omyrti, Hscapr
Elappc, Osamol
Cdorsa, Sal41
Srenov, Sal47
Ohelve, Salcal
Onival, Osamol
Ospset, Sal46
Sal19, Cnrsub
Osamol, Sal27
Sal36, Ialter
Sal14, Olappl
Egemmc, Esubge
Atymbe, Oelaea
Hscapr, Emyrti
Pclavi, Tspsix
Chalci, Eacicu
Lflexi, Sal27
Ichnsp, Latole
Sal20, Omonti
Apante, Eangus
Sal22, Bobscu
Pclavi, Aalvea
Sal50, Opolar
Emyrti, Esmyrt
Aprost, Oelaea
Hplicl, Hsglau
Sal4, Oobscu
Sborea, Snigri
Snigri, Sal50
Omonti, Sal20
Sal4, Ofoeti
Ocolla, Sal13
Chalci, Svesic
Elanat, Lflexi
Eappen, Lalpic
Llappo, Sal42
Ospset, Sal45
Olappo, Acubic
Aalvea, Amorri
Ohelve, Pterom
Tspsix, Aalvea
